"Series Description","30-Day AA Financial Commercial Paper Interest Rate","30-Day AA Nonfinancial Commercial Paper Interest Rate"
"Unit:","Percent","Percent"
"Multiplier:","1","1"
"Currency:","NA","NA"
"Unique Identifier: ","H15/H15/RIFSPPFAAD30_N.M","H15/H15/RIFSPPNAAD30_N.M"
"Time Period","RIFSPPFAAD30_N.M","RIFSPPNAAD30_N.M"
2021-01,0.10,0.08
2021-02,0.09,0.06
2021-03,0.08,0.07
2021-04,0.08,0.04
2021-05,0.06,0.10
2021-06,0.06,0.04
2021-07,0.08,0.05
2021-08,0.08,0.05
2021-09,0.08,0.05
2021-10,0.08,0.05
2021-11,0.11,0.06
2021-12,0.08,0.07
2022-01,0.10,0.07
2022-02,0.15,0.16
2022-03,0.36,0.32
2022-04,0.50,0.44
2022-05,0.91,0.80
2022-06,1.40,1.35
2022-07,2.03,1.90
2022-08,2.38,2.33
2022-09,2.79,2.80
2022-10,3.32,3.28
2022-11,3.90,3.88
2022-12,4.21,4.20
2023-01,4.45,4.33
2023-02,4.60,4.55
2023-03,4.74,4.74
2023-04,4.87,4.82
2023-05,5.08,5.06
2023-06,5.13,5.10
2023-07,5.22,5.16
2023-08,5.37,5.30
2023-09,5.38,5.31
2023-10,5.38,5.33
2023-11,5.37,5.33